method,seed,step,test_error,reward,backward_frac,loss
PG,0,0,0.9468999989330769,0.05999999865889549,1.0,-0.09377974271774292
PG,0,100,0.34850001335144043,0.6399999856948853,1.0,-0.23615209758281708
PG,0,200,0.336899995803833,0.6399999856948853,1.0,-0.25074952840805054
PG,0,300,0.2670000195503235,0.7200000286102295,1.0,-0.06016935408115387
PG,0,400,0.205299973487854,0.8399999737739563,1.0,-0.06986790150403976
PG,0,500,0.19450002908706665,0.7400000095367432,1.0,-0.09664566814899445
PG,0,600,0.18150001764297485,0.800000011920929,1.0,-0.07339532673358917
PG,0,700,0.18519997596740723,0.7900000214576721,1.0,-0.052487798035144806
PG,0,800,0.1736999750137329,0.8899999856948853,1.0,-0.015987524762749672
PG,0,900,0.17470002174377441,0.8199999928474426,1.0,-0.042066603899002075
PG,0,1000,0.17650002241134644,0.8100000023841858,1.0,-0.027264731004834175
PG,0,1100,0.17019999027252197,0.8100000023841858,1.0,-0.026179447770118713
PG,0,1200,0.16939997673034668,0.8600000143051147,1.0,-0.01251924131065607
PG,0,1300,0.1662999987602234,0.8100000023841858,1.0,-0.012197800911962986
PG,0,1400,0.17409998178482056,0.8199999928474426,1.0,-0.031169846653938293
PG,0,1500,0.16200000047683716,0.8600000143051147,1.0,-0.035503730177879333
PG,0,1600,0.1687999963760376,0.8199999928474426,1.0,-0.013276895508170128
PG,0,1700,0.16200000047683716,0.8799999952316284,1.0,-0.009714487008750439
PG,0,1800,0.16100001335144043,0.8500000238418579,1.0,-0.006007447373121977
PG,0,1900,0.1614999771118164,0.9100000262260437,1.0,-0.004910332150757313
PG,0,2000,0.16060000658035278,0.8700000047683716,1.0,-0.0028531455900520086
PG,0,2100,0.16060000658035278,0.8100000023841858,1.0,-0.039744142442941666
PG,0,2200,0.1600000262260437,0.8799999952316284,1.0,-0.011365758255124092
PG,0,2300,0.1590999960899353,0.8799999952316284,1.0,0.00377662293612957
PG,0,2400,0.1590999960899353,0.8700000047683716,1.0,0.003857790492475033
PG,0,2500,0.15420001745224,0.8600000143051147,1.0,-0.04989253357052803
PG,0,2600,0.15770000219345093,0.8299999833106995,1.0,0.0032456680200994015
PG,0,2700,0.1534000039100647,0.7900000214576721,1.0,-0.03397031128406525
PG,0,2800,0.15210002660751343,0.8399999737739563,1.0,-0.0211897324770689
PG,0,2900,0.16689997911453247,0.8100000023841858,1.0,-0.013613518327474594
PG,0,3000,0.15390002727508545,0.800000011920929,1.0,-0.007031737361103296
PG,0,3100,0.15049999952316284,0.8999999761581421,1.0,-0.023806316778063774
PG,0,3200,0.1510000228881836,0.8199999928474426,1.0,-0.02913554012775421
PG,0,3300,0.15679997205734253,0.8199999928474426,1.0,-0.0069437152706086636
PG,0,3400,0.15280002355575562,0.8899999856948853,1.0,-0.0062606013379991055
PG,0,3500,0.15140002965927124,0.8199999928474426,1.0,0.0028364225290715694
PG,0,3600,0.147599995136261,0.8799999952316284,1.0,0.0012814420042559505
PG,0,3700,0.14719998836517334,0.7900000214576721,1.0,-0.024226104840636253
PG,0,3800,0.1524999737739563,0.7900000214576721,1.0,-0.03279273957014084
PG,0,3900,0.15479999780654907,0.8299999833106995,1.0,-0.011584506370127201
PG,0,4000,0.14539998769760132,0.8999999761581421,1.0,-0.004712408874183893
PG,0,4100,0.15189999341964722,0.9100000262260437,1.0,-0.0010869759134948254
PG,0,4200,0.1559000015258789,0.7799999713897705,1.0,-0.026734445244073868
PG,0,4300,0.15210002660751343,0.8299999833106995,1.0,-0.01824161596596241
PG,0,4400,0.1503000259399414,0.8899999856948853,1.0,0.005556820426136255
PG,0,4500,0.1444000005722046,0.8399999737739563,1.0,-0.0033991551026701927
PG,0,4600,0.1470000147819519,0.8799999952316284,1.0,-0.011635598726570606
PG,0,4700,0.15729999542236328,0.8299999833106995,1.0,0.005768319591879845
PG,0,4800,0.1437000036239624,0.8299999833106995,1.0,-0.017742125317454338
PG,0,4900,0.14160001277923584,0.8500000238418579,1.0,-0.01650315895676613
PG,0,5000,0.069100022315979,0.9300000071525574,1.0,0.0011732581770047545
PG,0,5100,0.05879998207092285,0.9399999976158142,1.0,0.004752669483423233
PG,0,5200,0.055299997329711914,0.9200000166893005,1.0,-0.011564263142645359
PG,0,5300,0.05349999666213989,0.9599999785423279,1.0,0.007638169452548027
PG,0,5400,0.05260002613067627,0.9100000262260437,1.0,-0.003965376410633326
PG,0,5500,0.05210000276565552,0.9300000071525574,1.0,-0.007996728643774986
PG,0,5600,0.04989999532699585,0.9900000095367432,1.0,0.0013309466885402799
PG,0,5700,0.049799978733062744,0.9800000190734863,1.0,-0.06121490150690079
PG,0,5800,0.04839998483657837,0.9300000071525574,1.0,-0.006801191717386246
PG,0,5900,0.05140000581741333,0.9700000286102295,1.0,-0.019019020721316338
PG,0,6000,0.05199998617172241,0.9800000190734863,1.0,-0.0016335169784724712
PG,0,6100,0.04919999837875366,0.9399999976158142,1.0,-0.021236972883343697
PG,0,6200,0.05199998617172241,0.9300000071525574,1.0,-0.01414009090512991
PG,0,6300,0.04430001974105835,0.9399999976158142,1.0,-0.006064020562916994
PG,0,6400,0.0437999963760376,0.9800000190734863,1.0,9.998016321333125e-05
PG,0,6500,0.04129999876022339,0.9700000286102295,1.0,0.0018024013843387365
PG,0,6600,0.04400002956390381,0.9700000286102295,1.0,-0.0001961016096174717
PG,0,6700,0.04350000619888306,0.9399999976158142,1.0,-0.0011020570527762175
PG,0,6800,0.04430001974105835,0.9800000190734863,1.0,0.010693017393350601
PG,0,6900,0.03930002450942993,0.9300000071525574,1.0,-0.03729615360498428
PG,0,7000,0.040199995040893555,0.9599999785423279,1.0,-0.007549697533249855
PG,0,7100,0.041999995708465576,0.9700000286102295,1.0,-0.00010712683433666825
PG,0,7200,0.038999974727630615,0.9900000095367432,1.0,-0.002229779027402401
PG,0,7300,0.03949999809265137,0.9599999785423279,1.0,0.0034028845839202404
PG,0,7400,0.04509997367858887,0.949999988079071,1.0,0.004204416181892157
PG,0,7500,0.03829997777938843,0.9800000190734863,1.0,-0.0040443055331707
PG,0,7600,0.04250001907348633,0.9800000190734863,1.0,0.005411401856690645
PG,0,7700,0.04439997673034668,0.9599999785423279,1.0,-0.006169039756059647
PG,0,7800,0.042699992656707764,0.9599999785423279,1.0,-0.011537284590303898
PG,0,7900,0.040199995040893555,0.9900000095367432,1.0,0.002254327293485403
